feature,importance
away_sp_xfip,0.07860965
away_off_babip,0.048576314
away_sp_bb_pct,0.04474199
home_sp_k_pct,0.043841794
home_off_iso,0.042166118
home_sp_bb_pct,0.041693907
diff_sp_xfip,0.041670196
home_sp_k_bb_pct,0.041551277
away_sp_fip,0.04085621
home_off_babip,0.040764622
away_base_runs_per_game,0.040665645
home_base_runs_per_game,0.040551268
diff_base_runs_per_game,0.03960418
away_sp_k_bb_pct,0.039491888
home_sp_xfip,0.03934839
home_park_factor,0.0386231
diff_sp_siera,0.038611278
away_sp_siera,0.03811216
away_off_woba,0.038062643
home_sp_siera,0.037437014
away_off_iso,0.03694662
home_sp_fip,0.036745764
home_off_woba,0.035900846
away_sp_k_pct,0.03542712
home_field,0.0
